#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
533	fig|6666666.1036479.peg.216	1041826.FCOL_01310	97.0	436.0	AEW85111.1	Two-component system response regulatory protein; COG3279 Response regulator of the LytR/AlgR family.
534	fig|6666666.1036479.peg.221	1041826.FCOL_01335	92.2	1248.4	ligA	DNA ligase; DNA ligase that catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double- stranded DNA using NAD as a coenzyme and as the energy source for the reaction. It is essential for DNA replication and repair of damaged DNA.
535	fig|6666666.1036479.peg.222	1041826.FCOL_01340	81.6	329.3	AEW85117.1	Hypothetical protein.
536	fig|6666666.1036479.peg.224	1041826.FCOL_01360	96.4	438.3	rsmI	uroporphyrin-III C/tetrapyrrole methyltransferase; Catalyzes the 2'-O-methylation of the ribose of cytidine 1402 (C1402) in 16S rRNA.
537	fig|6666666.1036479.peg.225	1041826.FCOL_01365	87.0	469.9	AEW85122.1	Hypothetical protein.
538	fig|6666666.1036479.peg.226	1041826.FCOL_01370	99.0	410.6	tdk	COG1435 Thymidine kinase.
539	fig|6666666.1036479.peg.227	1041826.FCOL_01375	95.3	481.1	AEW85124.1	Putative bifunctional UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase/alanine racemase; Catalyzes the interconversion of L-alanine and D-alanine. May also act on other amino acids; Belongs to the alanine racemase family.
540	fig|6666666.1036479.peg.228	1041826.FCOL_01375	93.8	1043.5	AEW85124.1	Putative bifunctional UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase/alanine racemase; Catalyzes the interconversion of L-alanine and D-alanine. May also act on other amino acids; Belongs to the alanine racemase family.
541	fig|6666666.1036479.peg.230	1041826.FCOL_01385	96.7	509.2	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase; Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha- ketoisovalerate to form ketopantoate; Belongs to the PanB family.
542	fig|6666666.1036479.peg.231	1041826.FCOL_01390	91.3	433.7	AEW85127.1	COG0564 Pseudouridylate synthases, 23S RNA-specific.
543	fig|6666666.1036479.peg.232	1041826.FCOL_01395	94.1	839.7	AEW85128.1	COG1012 NAD-dependent aldehyde dehydrogenases; Belongs to the aldehyde dehydrogenase family.
544	fig|6666666.1036479.peg.233	1041826.FCOL_01400	76.0	247.3	AEW85129.1	Hypothetical protein.
545	fig|6666666.1036479.peg.234	1041826.FCOL_01405	97.7	1413.7	AEW85130.1	COG3968 Uncharacterized protein related to glutamine synthetase.
546	fig|6666666.1036479.peg.235	1041826.FCOL_01410	75.0	1048.9	AEW85131.1	COG1629 Outer membrane receptor proteins, mostly Fe transport.
547	fig|6666666.1036479.peg.239	1041826.FCOL_01425	89.5	813.1	AEW85134.1	Radical SAM protein; COG0641 Arylsulfatase regulator (Fe-S oxidoreductase).
548	fig|6666666.1036479.peg.240	1041826.FCOL_01430	85.8	1203.7	AEW85135.1	Mtultidrug ABC transporter permease/ATPase; COG2274 ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain.
549	fig|6666666.1036479.peg.247	1041826.FCOL_01460	97.6	1414.8	AEW85141.1	GTP diphosphokinase; In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance.
550	fig|6666666.1036479.peg.248	1041826.FCOL_01465	47.5	142.1	AEW85142.1	COG3753 Uncharacterized protein conserved in bacteria.
551	fig|6666666.1036479.peg.249	1041826.FCOL_01470	86.1	544.7	AEW85143.1	COG0111 Phosphoglycerate dehydrogenase and related dehydrogenases; Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family.
552	fig|6666666.1036479.peg.250	1041826.FCOL_01475	91.6	665.2	serC	3-phosphoserine/phosphohydroxythreonine aminotransferase; Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine; Belongs to the class-V pyridoxal-phosphate-dependent aminotransferase family. SerC subfamily.
553	fig|6666666.1036479.peg.251	1041826.FCOL_01480	88.6	646.4	AEW85145.1	Hypothetical protein.
554	fig|6666666.1036479.peg.253	1041826.FCOL_01490	85.4	379.4	AEW85147.1	Hypothetical protein.
555	fig|6666666.1036479.peg.255	1041826.FCOL_01500	92.9	879.0	cysS	COG0215 Cysteinyl-tRNA synthetase; Belongs to the class-I aminoacyl-tRNA synthetase family.
556	fig|6666666.1036479.peg.256	1041826.FCOL_01505	99.1	440.3	folE	COG0302 GTP cyclohydrolase I.
557	fig|6666666.1036479.peg.257	1041826.FCOL_01510	96.7	768.8	AEW85151.1	COG0436 Aspartate/tyrosine/aromatic aminotransferase.
558	fig|6666666.1036479.peg.259	1041826.FCOL_02370	93.6	415.6	AEW85321.1	COG0811 Biopolymer transport proteins.
559	fig|6666666.1036479.peg.261	1041826.FCOL_02360	68.2	356.7	AEW85319.1	Hypothetical protein.
560	fig|6666666.1036479.peg.262	1041826.FCOL_02355	81.8	650.2	AEW85318.1	COG0285 Folylpolyglutamate synthase.
561	fig|6666666.1036479.peg.264	1041826.FCOL_02025	89.6	1838.5	AEW85254.1	Thermolysin; COG3227 Zinc metalloprotease (elastase).
562	fig|6666666.1036479.peg.265	1041826.FCOL_02030	77.0	609.4	AEW85255.1	Molybdopterin biosynthesis protein MoeA; Catalyzes the insertion of molybdate into adenylated molybdopterin with the concomitant release of AMP. Belongs to the MoeA family.
563	fig|6666666.1036479.peg.266	1041826.FCOL_02035	79.6	365.5	AEW85256.1	Hypothetical protein.
564	fig|6666666.1036479.peg.269	1041826.FCOL_02050	80.1	572.0	AEW85259.1	Rhodanese-like protein; COG0476 Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2.
565	fig|6666666.1036479.peg.271	1041826.FCOL_02065	92.4	544.7	moaC	COG0315 Molybdenum cofactor biosynthesis enzyme.
566	fig|6666666.1036479.peg.272	1041826.FCOL_02070	77.4	474.6	AEW85261.1	Molybdenum cofactor biosynthesis protein A; Catalyzes the cyclization of GTP to (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate; Belongs to the radical SAM superfamily. MoaA family.
567	fig|6666666.1036479.peg.273	1041826.FCOL_02075	87.6	832.8	AEW85262.1	Major facilitator transporter; COG2223 Nitrate/nitrite transporter.
568	fig|6666666.1036479.peg.274	1041826.FCOL_02080	87.7	879.8	AEW85263.1	COG2223 Nitrate/nitrite transporter.
569	fig|6666666.1036479.peg.275	1041826.FCOL_02085	93.6	637.5	AEW85264.1	Major facilitator transporter.
570	fig|6666666.1036479.peg.276	1041826.FCOL_02090	95.0	1457.2	AEW85265.1	Nitrate reductase; COG0243 Anaerobic dehydrogenases, typically selenocysteine-containing; Belongs to the prokaryotic molybdopterin-containing oxidoreductase family.
571	fig|6666666.1036479.peg.280	1041826.FCOL_07335	75.6	201.8	AEW86286.1	Hypothetical protein.
572	fig|6666666.1036479.peg.284	1041826.FCOL_02235	95.1	1311.6	recG	ATP-dependent DNA helicase RecG; Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y- DNA); Belongs to the helicase family. RecG subfamily.
573	fig|6666666.1036479.peg.285	1041826.FCOL_02230	89.0	461.8	AEW85293.1	Hypothetical protein; COG2102 Predicted ATPases of PP-loop superfamily.
574	fig|6666666.1036479.peg.286	1041826.FCOL_02225	98.5	1061.6	AEW85292.1	Translation intitiation regulation protein; COG0488 ATPase components of ABC transporters with duplicated ATPase domains.
575	fig|6666666.1036479.peg.287	1041826.FCOL_02220	91.1	422.2	AEW85291.1	Prolipoprotein diacylglyceryl transferase; Catalyzes the transfer of the diacylglyceryl group from phosphatidylglycerol to the sulfhydryl group of the N-terminal cysteine of a prolipoprotein, the first step in the formation of mature lipoproteins.
576	fig|6666666.1036479.peg.288	1041826.FCOL_02215	98.0	941.8	AEW85290.1	Hypothetical protein; COG1964 Predicted Fe-S oxidoreductases.
577	fig|6666666.1036479.peg.289	1041826.FCOL_01015	94.6	526.6	AEW85052.1	Hypothetical protein.
578	fig|6666666.1036479.peg.290	1041826.FCOL_02520	30.6	295.0	AEW85351.1	Hypothetical protein; COG1196 Chromosome segregation ATPases.
580	fig|6666666.1036479.peg.292	1041826.FCOL_01020	88.8	452.2	trpA	Tryptophan synthase subunit alpha; The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3-phosphate. Belongs to the TrpA family.
581	fig|6666666.1036479.peg.293	1041826.FCOL_01025	98.7	777.3	trpB	Tryptophan synthase subunit beta; The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine.
582	fig|6666666.1036479.peg.294	1041826.FCOL_01030	81.2	343.2	trpF	COG0135 Phosphoribosylanthranilate isomerase; Belongs to the TrpF family.
583	fig|6666666.1036479.peg.295	1041826.FCOL_01035	99.6	493.0	trpC	COG0134 Indole-3-glycerol phosphate synthase; Belongs to the TrpC family.
584	fig|6666666.1036479.peg.296	1041826.FCOL_01040	98.5	637.9	trpD	Anthranilate phosphoribosyltransferase; Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'- phosphoribosyl)-anthranilate (PRA).
585	fig|6666666.1036479.peg.297	1041826.FCOL_01045	97.0	406.8	AEW85058.1	COG0512 Anthranilate/para-aminobenzoate synthases component II.
586	fig|6666666.1036479.peg.298	1041826.FCOL_01050	98.3	906.0	AEW85059.1	COG0147 Anthranilate/para-aminobenzoate synthases component I.
589	fig|6666666.1036479.peg.302	1041826.FCOL_01070	80.7	367.9	AEW85063.1	Hypothetical protein.
596	fig|6666666.1036479.peg.315	1041826.FCOL_01050	94.9	524.2	AEW85059.1	COG0147 Anthranilate/para-aminobenzoate synthases component I.
598	fig|6666666.1036479.peg.319	1041826.FCOL_01070	98.8	478.8	AEW85063.1	Hypothetical protein.
599	fig|6666666.1036479.peg.321	1041826.FCOL_01075	99.3	586.6	lipA	Lipoyl synthase; Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives.
600	fig|6666666.1036479.peg.322	1041826.FCOL_01080	97.9	652.1	AEW85065.1	COG0057 Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase; Belongs to the glyceraldehyde-3-phosphate dehydrogenase family.
601	fig|6666666.1036479.peg.323	1041826.FCOL_01085	85.7	895.2	AEW85066.1	Two-component system sensor histidine kinase; COG0642 Signal transduction histidine kinase.
602	fig|6666666.1036479.peg.324	1041826.FCOL_01090	94.1	520.0	AEW85067.1	Purine nucleoside phosphorylase; The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate.
603	fig|6666666.1036479.peg.325	1041826.FCOL_01095	83.3	578.9	lpxK	Tetraacyldisaccharide 4'-kinase; Transfers the gamma-phosphate of ATP to the 4'-position of a tetraacyldisaccharide 1-phosphate intermediate (termed DS-1-P) to form tetraacyldisaccharide 1,4'-bis-phosphate (lipid IVA).
604	fig|6666666.1036479.peg.327	1041826.FCOL_01100	87.3	656.8	AEW85069.1	Hypothetical protein; Belongs to the GTP cyclohydrolase I type 2/NIF3 family.
605	fig|6666666.1036479.peg.328	1041826.FCOL_01105	87.6	207.2	AEW85070.1	COG1579 Zn-ribbon protein, possibly nucleic acid-binding.
606	fig|6666666.1036479.peg.329	1041826.FCOL_01110	65.5	366.7	AEW85071.1	COG0596 Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily).
607	fig|6666666.1036479.peg.330	1041826.FCOL_01115	91.6	463.0	AEW85072.1	COG1187 16S rRNA uridine-516 pseudouridylate synthase and related pseudouridylate synthases; Belongs to the pseudouridine synthase RsuA family.
608	fig|6666666.1036479.peg.331	1041826.FCOL_01118	79.1	696.0	AEX99657.1	Hypothetical protein.
609	fig|6666666.1036479.peg.333	1041826.FCOL_01125	78.4	564.3	AEW85074.1	COG1169 Isochorismate synthase.
610	fig|6666666.1036479.peg.334	1041826.FCOL_01130	89.9	449.5	AEW85075.1	COG2120 Uncharacterized proteins, LmbE homologs.
612	fig|6666666.1036479.peg.336	1041826.FCOL_02335	95.3	555.8	AEW85314.1	COG0248 Exopolyphosphatase.
613	fig|6666666.1036479.peg.337	1041826.FCOL_02330	90.9	1271.1	ppk	Polyphosphate kinase; Catalyzes the reversible transfer of the terminal phosphate of ATP to form a long-chain polyphosphate (polyP). Belongs to the polyphosphate kinase 1 (PPK1) family.
614	fig|6666666.1036479.peg.338	1041826.FCOL_02325	89.3	458.8	AEW85312.1	tRNA/rRNA methyltransferase SpoU; COG0566 rRNA methylases; Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family.
615	fig|6666666.1036479.peg.339	1041826.FCOL_02320	73.7	476.5	AEW85311.1	Hypothetical protein.
616	fig|6666666.1036479.peg.340	1041826.FCOL_02315	77.8	602.1	AEW85310.1	DegT/DnrJ/EryC1/StrS aminotransferase; COG0399 Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis; Belongs to the DegT/DnrJ/EryC1 family.
617	fig|6666666.1036479.peg.341	1041826.FCOL_02310	66.3	531.2	AEW85309.1	Flippase; COG2244 Membrane protein involved in the export of O-antigen and teichoic acid.
618	fig|6666666.1036479.peg.342	1041826.FCOL_02305	83.5	413.3	AEW85308.2	COG1858 Cytochrome c peroxidase.
619	fig|6666666.1036479.peg.343	1041826.FCOL_02300	96.0	458.4	AEW85307.1	3-oxoacyl-[acyl-carrier-protein] reductase; Catalyzes the NADPH-dependent reduction of beta-ketoacyl-ACP substrates to beta-hydroxyacyl-ACP products, the first reductive step in the elongation cycle of fatty acid biosynthesis. Belongs to the short-chain dehydrogenases/reductases (SDR) family.
620	fig|6666666.1036479.peg.344	1041826.FCOL_02295	86.1	1163.7	AEW85306.1	Hypothetical protein.
621	fig|6666666.1036479.peg.345	1041826.FCOL_01695	95.3	944.9	AEW85188.1	Sugar O-acetyltransferase; COG1696 Predicted membrane protein involved in D-alanine export; Belongs to the membrane-bound acyltransferase family.
622	fig|6666666.1036479.peg.346	1041826.FCOL_01700	82.3	744.2	AEW85189.1	Hypothetical protein.
623	fig|6666666.1036479.peg.347	1041826.FCOL_01705	88.2	424.1	ung	uracil-DNA glycosylase; Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine.
624	fig|6666666.1036479.peg.348	1041826.FCOL_01710	88.7	551.6	AEW85191.1	Hypothetical protein; COG1305 Transglutaminase-like enzymes, putative cysteine proteases.
625	fig|6666666.1036479.peg.349	1041826.FCOL_01715	89.0	519.6	AEW85192.1	COG0715 ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components.
626	fig|6666666.1036479.peg.351	1041826.FCOL_01725	88.0	367.5	AEW85194.1	Putative ribosomal-protein-amino-acid N-acetyltransferase; COG1670 Acetyltransferases, including N-acetylases of ribosomal proteins.
627	fig|6666666.1036479.peg.353	1041826.FCOL_01735	96.5	554.3	AEW85196.1	Phosphorylase family protein; COG2820 Uridine phosphorylase.
628	fig|6666666.1036479.peg.355	1041826.FCOL_01745	96.8	638.6	AEW85198.1	Putative oxidoreductase; COG3491 Isopenicillin N synthase and related dioxygenases; Belongs to the iron/ascorbate-dependent oxidoreductase family.
629	fig|6666666.1036479.peg.356	1041826.FCOL_01750	91.5	1245.7	AEW85199.1	COG1071 Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, eukaryotic type, alpha subunit.
630	fig|6666666.1036479.peg.357	1041826.FCOL_01755	96.3	941.8	AEW85200.1	Aminoacyl-histidine dipeptidase; COG2195 Di- and tripeptidases.
631	fig|6666666.1036479.peg.358	1041826.FCOL_01760	87.8	466.8	AEW85201.2	COG1560 Lauroyl/myristoyl acyltransferase.
632	fig|6666666.1036479.peg.359	1041826.FCOL_01765	77.5	314.7	AEW85202.1	Rhomboid family protein; COG0705 Uncharacterized membrane protein (homolog of Drosophila rhomboid).
633	fig|6666666.1036479.peg.360	1041826.FCOL_01770	81.5	357.5	AEW85203.2	Hypothetical protein.
634	fig|6666666.1036479.peg.361	1041826.FCOL_01775	89.4	465.3	AEW85204.2	Patatin; COG1752 Predicted esterase of the alpha-beta hydrolase superfamily.
635	fig|6666666.1036479.peg.363	1041826.FCOL_02170	92.8	1180.2	AEW85281.1	Hypothetical protein; COG2905 Predicted signal-transduction protein containing cAMP-binding and CBS domains.
636	fig|6666666.1036479.peg.365	1041826.FCOL_02185	95.9	1244.6	kup	Potassium transport system protein Kup; Transport of potassium into the cell; Belongs to the HAK/KUP transporter (TC 2.A.72) family.
637	fig|6666666.1036479.peg.366	1041826.FCOL_02190	90.9	526.2	AEW85285.1	COG3781 Predicted membrane protein.
638	fig|6666666.1036479.peg.367	1041826.FCOL_02195	77.8	1090.1	AEW85286.1	COG0308 Aminopeptidase N.
639	fig|6666666.1036479.peg.368	1041826.FCOL_02200	91.5	795.0	AEW85287.1	Hypothetical protein.
640	fig|6666666.1036479.peg.372	1041826.FCOL_02395	91.6	986.1	AEW85326.1	COG1239 Mg-chelatase subunit ChlI.
641	fig|6666666.1036479.peg.373	1041826.FCOL_02400	99.6	448.7	AEW85327.1	Hypothetical protein.
642	fig|6666666.1036479.peg.374	1041826.FCOL_02405	95.8	630.9	cbiD	Cobalamin biosynthesis protein CbiD; Catalyzes the methylation of C-1 in cobalt-precorrin-5B to form cobalt-precorrin-6A.
643	fig|6666666.1036479.peg.375	1041826.FCOL_02410	95.2	482.6	AEW85329.1	COG2099 Precorrin-6x reductase.
644	fig|6666666.1036479.peg.376	1041826.FCOL_02415	97.9	1163.7	AEW85330.1	Precorrin-4 C11-methyltransferase; COG2073 Cobalamin biosynthesis protein CbiG.
645	fig|6666666.1036479.peg.377	1041826.FCOL_02420	98.1	825.5	AEW85331.1	Precorrin-6y C5,15-methyltransferase subunit CbiE; COG2241 Precorrin-6B methylase 1.
646	fig|6666666.1036479.peg.378	1041826.FCOL_02425	99.1	425.2	AEW85332.1	COG0778 Nitroreductase.
647	fig|6666666.1036479.peg.379	1041826.FCOL_02430	99.1	901.7	AEW85333.1	COG1010 Precorrin-3B methylase.
648	fig|6666666.1036479.peg.381	1041826.FCOL_02440	98.7	619.8	AEW85335.1	Cobalamin (vitamin B12) biosynthesis CbiX protein.
649	fig|6666666.1036479.peg.382	1041826.FCOL_02445	98.5	509.6	AEW85336.1	uroporphyrin-III C-methyltransferase; COG0007 Uroporphyrinogen-III methylase.
650	fig|6666666.1036479.peg.383	1041826.FCOL_02450	98.5	537.3	AEW85337.1	Epimerase; COG0451 Nucleoside-diphosphate-sugar epimerases.
651	fig|6666666.1036479.peg.384	1041826.FCOL_02455	96.6	504.6	AEW85338.1	COG3376 High-affinity nickel permease; Belongs to the NiCoT transporter (TC 2.A.52) family.
652	fig|6666666.1036479.peg.385	1041826.FCOL_02460	99.1	1746.1	AEW85339.1	tonB-dependent receptor; COG1894 NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit.
653	fig|6666666.1036479.peg.386	1041826.FCOL_02465	96.8	591.7	cobD	Cobalamin biosynthesis protein CobD; Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group.
654	fig|6666666.1036479.peg.387	1041826.FCOL_02470	97.9	669.1	AEW85341.1	COG0079 Histidinol-phosphate/aromatic aminotransferase and cobyric acid decarboxylase.
655	fig|6666666.1036479.peg.388	1041826.FCOL_02475	95.5	938.7	cobQ	Cobyric acid synthase; Catalyzes amidations at positions B, D, E, and G on adenosylcobyrinic A,C-diamide. NH(2) groups are provided by glutamine, and one molecule of ATP is hydrogenolyzed for each amidation. Belongs to the CobB/CobQ family. CobQ subfamily.
656	fig|6666666.1036479.peg.389	1041826.FCOL_02480	96.8	545.8	AEW85343.1	GHMP kinase; COG4542 Protein involved in propanediol utilization, and related proteins (includes coumermycin biosynthetic protein), possible kinase.
657	fig|6666666.1036479.peg.390	1041826.FCOL_02485	93.0	828.9	cbiA	Cobyrinic acid a,c-diamide synthase; Catalyzes the ATP-dependent amidation of the two carboxylate groups at positions a and c of cobyrinate, using either L-glutamine or ammonia as the nitrogen source; Belongs to the CobB/CbiA family.
658	fig|6666666.1036479.peg.393	1041826.FCOL_01665	90.0	401.4	AEW85182.1	COG0036 Pentose-5-phosphate-3-epimerase; Belongs to the ribulose-phosphate 3-epimerase family.
659	fig|6666666.1036479.peg.394	1041826.FCOL_01660	86.5	570.9	AEW85181.1	Hypothetical protein.
660	fig|6666666.1036479.peg.396	1041826.FCOL_02380	94.5	577.8	AEW85323.1	Cobalamin biosynthesis protein CobW; COG0523 Putative GTPases (G3E family).
661	fig|6666666.1036479.peg.398	1041826.FCOL_02385	94.9	2017.7	AEW85324.1	Cobaltochelatase, CobN subunit; COG1429 Cobalamin biosynthesis protein CobN and related Mg-chelatases.
662	fig|6666666.1036479.peg.399	1041826.FCOL_02255	86.5	623.6	AEW85298.1	O-succinylbenzoate synthase; COG4948 L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily; Belongs to the mandelate racemase/muconate lactonizing enzyme family.
663	fig|6666666.1036479.peg.400	1041826.FCOL_02260	84.8	693.0	AEW85299.1	Hypothetical protein.
664	fig|6666666.1036479.peg.401	1041826.FCOL_02265	90.0	477.6	AEW85300.1	Hypothetical protein.
665	fig|6666666.1036479.peg.402	1041826.FCOL_02270	88.2	472.6	menA	1,4-dihydroxy-2-naphthoateoctaprenyltransferase; Conversion of 1,4-dihydroxy-2-naphthoate (DHNA) to demethylmenaquinone (DMK); Belongs to the MenA family. Type 1 subfamily.
666	fig|6666666.1036479.peg.403	1041826.FCOL_02275	98.2	562.8	menB	Naphthoate synthase; Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4-dihydroxy-2- naphthoyl-CoA (DHNA-CoA); Belongs to the enoyl-CoA hydratase/isomerase family. MenB subfamily.
667	fig|6666666.1036479.peg.405	1041826.FCOL_02285	98.6	699.5	AEW85304.1	Hypothetical protein.
668	fig|6666666.1036479.peg.406	1041826.FCOL_02290	95.9	805.1	pepT	Peptidase T; Cleaves the N-terminal amino acid of tripeptides. Belongs to the peptidase M20B family.
669	fig|6666666.1036479.peg.408	1041826.FCOL_02010	92.6	443.7	AEW85251.1	Thiol:disulfide interchange lipoprotein N-terminal region.
670	fig|6666666.1036479.peg.411	1041826.FCOL_02000	76.2	193.4	AEW85249.1	Hypothetical protein.
671	fig|6666666.1036479.peg.412	1041826.FCOL_01995	85.9	510.4	AEW85248.1	COG0605 Superoxide dismutase.
672	fig|6666666.1036479.peg.414	1041826.FCOL_01985	92.6	400.2	AEW85246.1	COG0688 Phosphatidylserine decarboxylase.
673	fig|6666666.1036479.peg.415	1041826.FCOL_01980	80.5	417.5	AEW85245.1	Phosphatidate cytidylyltransferase; COG0575 CDP-diglyceride synthetase.
674	fig|6666666.1036479.peg.416	1041826.FCOL_01975	94.5	386.0	AEW85244.1	Hypothetical protein.
675	fig|6666666.1036479.peg.417	1041826.FCOL_01970	96.4	1186.4	ftsH	Cell division protein FtsH; Acts as a processive, ATP-dependent zinc metallopeptidase for both cytoplasmic and membrane proteins. Plays a role in the quality control of integral membrane proteins; Belongs to the AAA ATPase family.  In the central section; belongs to the AAA ATPase family.
676	fig|6666666.1036479.peg.419	1041826.FCOL_01960	82.7	387.5	AEW85241.1	COG0340 Biotin-(acetyl-CoA carboxylase) ligase.
677	fig|6666666.1036479.peg.422	1041826.FCOL_01585	92.9	662.5	AEW85166.1	Hypothetical protein; COG0457 FOG: TPR repeat.
678	fig|6666666.1036479.peg.423	1041826.FCOL_01580	96.9	773.5	AEW85165.1	COG4992 Ornithine/acetylornithine aminotransferase; Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family.
679	fig|6666666.1036479.peg.424	1041826.FCOL_01575	99.3	847.4	AEW85164.1	Hypothetical protein.
681	fig|6666666.1036479.peg.429	1041826.FCOL_01570	94.2	472.6	AEW85163.1	Hemerythrin HHE cation binding domain-containing protein; Di-iron-containing protein involved in the repair of iron- sulfur clusters; Belongs to the RIC family.
682	fig|6666666.1036479.peg.431	1041826.FCOL_01560	98.6	547.0	AEW85161.1	COG3256 Nitric oxide reductase large subunit; Belongs to the heme-copper respiratory oxidase family.
683	fig|6666666.1036479.peg.433	1041826.FCOL_01555	96.2	830.5	AEW85160.1	Hypothetical protein.
684	fig|6666666.1036479.peg.434	1041826.FCOL_01550	99.2	959.1	AEW85159.1	Putative nitrite reductase; COG2132 Putative multicopper oxidases.
685	fig|6666666.1036479.peg.435	1041826.FCOL_01545	97.1	565.5	AEW85158.1	Hypothetical protein.
686	fig|6666666.1036479.peg.436	1041826.FCOL_01540	97.4	372.9	AEW85157.1	COG1999 Uncharacterized protein SCO1/SenC/PrrC, involved in biogenesis of respiratory and photosynthetic systems.
687	fig|6666666.1036479.peg.437	1041826.FCOL_01535	99.6	512.3	AEW85156.1	Nitric oxide reductase NorQ protein; COG0714 MoxR-like ATPases.
688	fig|6666666.1036479.peg.438	1041826.FCOL_01530	97.6	1137.5	AEW85155.1	NorD protein; COG4548 Nitric oxide reductase activation protein.
689	fig|6666666.1036479.peg.441	1041826.FCOL_02135	72.8	548.1	AEW85274.1	Hypothetical protein.
690	fig|6666666.1036479.peg.444	1041826.FCOL_02120	85.5	1080.1	AEW85271.1	OmpA/MotB domain-containing protein; COG0823 Periplasmic component of the Tol biopolymer transport system.
691	fig|6666666.1036479.peg.445	1041826.FCOL_02115	83.9	488.4	AEW85270.1	Hypothetical protein.
692	fig|6666666.1036479.peg.446	1041826.FCOL_02110	93.4	1684.8	AEW85269.1	Hypothetical protein.
693	fig|6666666.1036479.peg.447	1041826.FCOL_02160	97.5	1285.4	AEW85279.1	acetate--CoA ligase; Catalyzes the conversion of acetate into acetyl-CoA (AcCoA), an essential intermediate at the junction of anabolic and catabolic pathways. AcsA undergoes a two-step reaction. In the first half reaction, AcsA combines acetate with ATP to form acetyl-adenylate (AcAMP) intermediate. In the second half reaction, it can then transfer the acetyl group from AcAMP to the sulfhydryl group of CoA, forming the product AcCoA.
694	fig|6666666.1036479.peg.448	1041826.FCOL_02155	90.1	902.1	AEW85278.1	Membrane bound O-acyl transferase, MBOAT family protein; COG1696 Predicted membrane protein involved in D-alanine export; Belongs to the membrane-bound acyltransferase family.
695	fig|6666666.1036479.peg.449	1041826.FCOL_02150	82.5	513.5	AEW85277.1	Hypothetical protein.
696	fig|6666666.1036479.peg.450	1041826.FCOL_02145	90.9	504.2	AEW85276.1	COG0589 Universal stress protein UspA and related nucleotide-binding proteins.
697	fig|6666666.1036479.peg.451	1041826.FCOL_02140	87.1	506.5	AEW85275.1	Hypothetical protein; COG0457 FOG: TPR repeat.
698	fig|6666666.1036479.peg.452	1041826.FCOL_01825	75.2	647.1	AEW85214.1	Hypothetical protein.
699	fig|6666666.1036479.peg.454	1041826.FCOL_01810	83.9	389.8	AEW85211.1	COG0464 ATPases of the AAA+ class.
700	fig|6666666.1036479.peg.455	1041826.FCOL_01805	83.5	401.0	AEW85210.1	Alanine racemase; Pyridoxal 5'-phosphate (PLP)-binding protein, which is involved in PLP homeostasis; Belongs to the pyridoxal phosphate-binding protein YggS/PROSC family.
701	fig|6666666.1036479.peg.456	1041826.FCOL_01800	85.2	368.2	AEW85209.1	COG0637 Predicted phosphatase/phosphohexomutase.
